deviceId~2,latitude,longitude,speed~1,reliability~4,satellite,type~4,lock~4,isoDate~9
51C43906,10.730836,106.580345,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
57L8096,10.815323,106.75633,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
53U1557,10.7973,106.6452,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
61C12277,10.88883,106.81672,0.0,0.0,0,1,1,Wed Sep 10 00:00:00 ICT 2014
51C16609,10.76283,106.77401,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51C20210,10.759306,106.73299,0.0,0.0,0,1,1,Wed Sep 10 00:00:01 ICT 2014
16H9507,10.728133,106.69232,24.0,0.0,0,1,1,Wed Sep 10 00:00:01 ICT 2014
53N4232,10.895097,106.57899,0.0,0.0,0,1,0,Wed Sep 10 00:00:02 ICT 2014
51C99999,10.730821,106.58038,0.0,0.0,0,1,0,Wed Sep 10 00:00:02 ICT 2014
51C13317,10.817686,106.757744,12.0,0.0,0,1,1,Wed Sep 10 00:00:02 ICT 2014
51C22608,10.80734,106.66057,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51A31444,10.80377,106.69025,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
61C12246,10.888425,106.81692,0.0,0.0,0,1,0,Wed Sep 10 00:00:03 ICT 2014
53N5219,11.007123,106.47084,0.0,0.0,0,1,0,Wed Sep 10 00:00:04 ICT 2014
51C28945,10.77218,106.73703,0.0,0.0,0,1,1,Wed Sep 10 00:00:01 ICT 2014
1569,11.058633,106.628494,24.0,0.0,0,1,1,Wed Sep 10 00:00:05 ICT 2014
53S5779,10.75111,106.69354,0.0,0.0,0,1,0,Wed Sep 10 00:00:04 ICT 2014
53N5112,10.95544,106.46636,0.0,0.0,0,1,0,Wed Sep 10 00:00:05 ICT 2014
51C39331,10.765628,106.79082,0.0,0.0,0,1,0,Wed Sep 10 00:00:05 ICT 2014
